Unnamed: 0,batter,baller,ball_speed,ball_length,ball_swing,wicket,wide,runs,shot,commentary
61,Agha Salman,Kuldeep Yadav,,full,straight,0,0,0,pull,"Kuldeep Yadav to Agha Salman, no run, quicker delivery close to off, Salman pushes it back to Kuldeep"
62,Iftikhar Ahmed,Kuldeep Yadav,,full,outside,0,0,1,pull,"Kuldeep Yadav to Iftikhar Ahmed, 1 run, wrong 'un on off, Iftikhar pushes to mid-off and quickly crosses over"
63,Iftikhar Ahmed,Kuldeep Yadav,,full,straight,0,0,0,flick,"Kuldeep Yadav to Iftikhar Ahmed, no run, not all that short but Iftikhar still goes for the pull, toe-ends it to the off-side"
64,Iftikhar Ahmed,Kuldeep Yadav,,full,straight,0,0,0,defend,"Kuldeep Yadav to Iftikhar Ahmed, no run, short of length googly around off, Iftikhar defends down the pitch"
65,Iftikhar Ahmed,Kuldeep Yadav,,full,outside,0,0,0,cover drive,"Kuldeep Yadav to Iftikhar Ahmed, no run, flatter and skidding on, Iftikhar knocks it to mid-wicket"
66,Agha Salman,Jadeja,,full,straight,0,0,0,defend,"Jadeja to Agha Salman, no run, ouch, Oh no"
67,Iftikhar Ahmed,Jadeja,,full,straight,0,0,1,cover drive,"Jadeja to Iftikhar Ahmed, 1 run, 94ks full delivery outside off, Iftikhar opens the bat face and eases it to sweeper cover"
68,Iftikhar Ahmed,Jadeja,,full,outside,0,0,0,defend,"Jadeja to Iftikhar Ahmed, no run, holds the length back a bit, Iftikhar knocks it to cover"
69,Agha Salman,Jadeja,,full,straight,0,0,1,flick,"Jadeja to Agha Salman, 1 run, 93ks fullish delivery and Salman drives to long-off"
70,Iftikhar Ahmed,Jadeja,,full,straight,0,0,1,pull,"Jadeja to Iftikhar Ahmed, 1 run, 95ks delivery close to off, Iftikhar pushes it towards point"
71,Agha Salman,Jadeja,,full,straight,0,0,1,defend,"Jadeja to Agha Salman, 1 run, starts with a dart around off, Salman eases it to cover"
72,Agha Salman,Kuldeep Yadav,,full,straight,0,0,1,defend,"Kuldeep Yadav to Agha Salman, 1 run, full delivery on leg-stump, Salman drives it to long-on"
73,Iftikhar Ahmed,Kuldeep Yadav,,full,straight,0,0,1,cut,"Kuldeep Yadav to Iftikhar Ahmed, 1 run, shortens the length, Iftikhar flicks it uppishly wide of mid-wicket"
74,Iftikhar Ahmed,Kuldeep Yadav,,full,outside,0,0,0,cover drive,"Kuldeep Yadav to Iftikhar Ahmed, no run, uhhh, Wrong 'un and Iftikhar had no clue, he played for the ball turning in and is beaten on the outside edge"
75,Iftikhar Ahmed,Kuldeep Yadav,,full,straight,0,0,0,flick,"Kuldeep Yadav to Iftikhar Ahmed, no run, tossed up outside off, Iftikhar blocks to the off-side"
76,Fakhar Zaman,Kuldeep Yadav,,full,straight,1,0,0,defend,"Kuldeep Yadav to Fakhar Zaman, out Bowled,, Cleaned up, Zaman survived some nervy moments early on, was dropped by Rohit in Kuldeep's first over and finally he perishes"
77,Fakhar Zaman,Kuldeep Yadav,,full,straight,0,0,0,defend,"Kuldeep Yadav to Fakhar Zaman, no run, drifts across and turns, Zaman defends to the left of Kuldeep"
78,Fakhar Zaman,Hardik Pandya,,full,outside,0,0,1,cut,"Hardik Pandya to Fakhar Zaman, 1 run, short and banged into the wicket, Zaman pulls to deep square leg"
79,Fakhar Zaman,Hardik Pandya,,full,outside,0,0,0,defend,"Hardik Pandya to Fakhar Zaman, no run, slower ball down leg, Zaman misses the glance and the ball rolls off the pad to Rahul"
80,Fakhar Zaman,Hardik Pandya,,full,straight,0,0,0,flick,"Hardik Pandya to Fakhar Zaman, no run, back of a length close to off, Zaman defends to the off-side"
81,Fakhar Zaman,Hardik Pandya,,full,straight,0,0,4,defend,"Hardik Pandya to Fakhar Zaman, FOUR, finally some intent and Zaman gets it off the middle too"
82,Agha Salman,Hardik Pandya,,full,straight,0,0,1,flick,"Hardik Pandya to Agha Salman, 1 run, on a length and outside off, Salman drives square and the sweeper tidies up"
83,Agha Salman,Hardik Pandya,,full,straight,0,0,0,cover drive,"Hardik Pandya to Agha Salman, no run, 140ks delivery pounded into the pitch and gets a bit of extra lift, Salman fends it with soft hands to mid-wicket"
84,Fakhar Zaman,Kuldeep Yadav,,full,straight,0,0,0,flick,"Kuldeep Yadav to Fakhar Zaman, no run, touch quicker now, Zaman stays back and defends off the outer half to backward point"
