Unnamed: 0,batter,baller,ball_speed,ball_length,ball_swing,wicket,wide,runs,shot,commentary
87,Asalanka,Hardik Pandya,,full,straight,0,0,0,drive,"Hardik Pandya to Asalanka, no run, 131ks fuller and close to off, Asalanka blocks it to cover"
88,Asalanka,Hardik Pandya,,full,straight,0,0,0,drive,"Hardik Pandya to Asalanka, no run, 118ks slower ball on off, Asalanka plays it with soft hands to cover"
89,Samarawickrama,Hardik Pandya,,full,straight,0,0,1,defend,"Hardik Pandya to Samarawickrama, 1 run, fuller and in the channel, Samarawickrama prods forward and squirts an inside edge to fine leg"
90,Samarawickrama,Hardik Pandya,,full,straight,0,0,0,drive,"Hardik Pandya to Samarawickrama, no run, 128ks back of a length on off, Samarawickrama turns it to mid-on"
91,Samarawickrama,Hardik Pandya,,full,straight,0,0,2,drive,"Hardik Pandya to Samarawickrama, 2 runs, good length ball outside off, Samarawickrama pushes it in front of square on the off-side and Kishan races across from sweeper cover but can't prevent the second"
92,Kusal Mendis,Bumrah,,length,outside,1,0,0,defend,"Bumrah to Kusal Mendis, out Caught by (sub)Suryakumar Yadav,, Mendis knew"
93,Kusal Mendis,Bumrah,,length,outside,0,0,0,defend,"Bumrah to Kusal Mendis, no run, 140ks very full and close to yorker length, Mendis digs it back to Bumrah"
94,Kusal Mendis,Bumrah,,length,outside,0,0,0,defend,"Bumrah to Kusal Mendis, no run, short and banged into the wicket, Mendis looks to upper cut but the ball goes past the top-edge"
95,Kusal Mendis,Bumrah,,length,outside,0,0,4,defend,"Bumrah to Kusal Mendis, FOUR, that's more like it"
96,Kusal Mendis,Bumrah,,length,straight,0,0,1,defend,"Bumrah to Kusal Mendis, 1 run, angled in on middle and leg, Mendis tucks it wide of mid-wicket and rushes to the other end"
97,Kusal Mendis,Bumrah,,length,outside,0,0,0,defend,"Bumrah to Kusal Mendis, no run, 141ks short of length delivery, Mendis rides the bounce and punches to backward point"
98,Kusal Mendis,Bumrah,,length,outside,0,0,4,defend,"Bumrah to Kusal Mendis, FOUR, streaky, Mendis goes for a wild slog across the line and the top-edge flies over the slip cordon"
99,Kusal Mendis,Bumrah,,length,straight,0,0,0,defend,"Bumrah to Kusal Mendis, no run, good length ball close to off, Mendis knocks it on top of the bounce to cover"
100,Kusal Mendis,Siraj,,full,straight,0,0,1,defend,"Siraj to Kusal Mendis, 1 run, in the air and short of Gill"
101,Kusal Mendis,Siraj,,length,outside,0,0,1,cut,"Siraj to Kusal Mendis, 1 run, good length ball outside off, Mendis is unsure to play or not and in the end he's late in lifting his bat, steers it to third man"
102,Kusal Mendis,Siraj,,length,outside,0,0,4,flick,"Siraj to Kusal Mendis, FOUR, does not adjust to the right hander, drifts onto the pads and Mendis flicks it to deep square leg"
103,Kusal Mendis,Bumrah,,length,outside,0,0,0,cover drive,"Bumrah to Kusal Mendis, no run, wicket maiden, Fuller and angling in, Mendis prods forward and defends to the off-side"
104,Kusal Mendis,Bumrah,,full,outside,0,0,0,drive,"Bumrah to Kusal Mendis, no run, 136ks delivery close to off, Mendis gets behind the line and blocks to backward point"
105,Kusal Mendis,Bumrah,,length,outside,0,0,0,defend,"Bumrah to Kusal Mendis, no run, hits the bat hard with an in-angler, Mendis defends with soft hands"
106,Kusal Mendis,Bumrah,,length,outside,0,0,0,defend,"Bumrah to Kusal Mendis, no run, 138ks back of a length outside off, Mendis lifts his bat and lets it go"
107,Kusal Mendis,Bumrah,,length,outside,0,0,0,defend,"Bumrah to Kusal Mendis, no run, stifled appeal for LBW"
108,Kuldeep Yadav,Asalanka,,full,straight,1,0,0,defend,"Asalanka to Kuldeep Yadav, out Caught by Dhananjaya,, Two in two and Sri Lanka are on fire"
109,Hardik Pandya,Wellalage,,length,straight,1,0,0,drive,"Wellalage to Hardik Pandya, out Caught by Kusal Mendis,, Maiden fifer for Wellalage"
110,Hardik Pandya,Wellalage,,full,straight,0,0,0,drive,"Wellalage to Hardik Pandya, no run, full outside off, driven to cover"
111,Ishan Kishan,Asalanka,,full,straight,1,0,0,cover drive,"Asalanka to Ishan Kishan, out Caught by Wellalage,, Wellalage again"
112,Ishan Kishan,Asalanka,,full,outside,0,0,0,leave,"Asalanka to Ishan Kishan, no run, good length outside off, dabbed to backward point"
113,Hardik Pandya,Wellalage,,full,straight,0,0,0,cut,"Wellalage to Hardik Pandya, no run, full on the stumps, pushed to cover"
114,Hardik Pandya,Wellalage,,full,straight,0,0,0,defend,"Wellalage to Hardik Pandya, no run, the inside-edge onto the pads saves Hardik Pandya, gets forward to defend and gets some bat before pad"
115,Hardik Pandya,Wellalage,,full,straight,0,0,0,drive,"Wellalage to Hardik Pandya, no run, what a ripper, Unplayable"
116,Ishan Kishan,Wellalage,,length,straight,0,0,1,defend,"Wellalage to Ishan Kishan, 1 run, good length on the middle and leg line, Ishan Kishan goes on the back foot to flick through square leg"
117,Hardik Pandya,Wellalage,,full,straight,0,0,1,drive,"Wellalage to Hardik Pandya, 1 run, full outside off, Hardik Pandya opens the face of the bat to push wide of backward point"
118,Hardik Pandya,Wellalage,,full,straight,0,0,0,drive,"Wellalage to Hardik Pandya, no run, tossed up full outside off, Hardik Pandya gets outside off and misses the sweep, hit on the body"
119,Hardik Pandya,Asalanka,,full,straight,0,0,0,flick,"Asalanka to Hardik Pandya, leg byes, 1 run, Kusal Mendis appeals for a caught behind but is turned down"
120,Hardik Pandya,Asalanka,,full,outside,0,0,0,cut,"Asalanka to Hardik Pandya, no run, full on off, pushed back"
121,Ishan Kishan,Asalanka,,full,outside,0,0,1,cut,"Asalanka to Ishan Kishan, 1 run, full outside off, pushed wide of cover for a quick single"
122,Hardik Pandya,Asalanka,,full,leg,0,0,1,drive,"Asalanka to Hardik Pandya, 1 run, slower and gets sharp turn from outside off, Hardik Pandya dabs in front of short third man"
123,Hardik Pandya,Asalanka,,full,straight,0,0,0,drive,"Asalanka to Hardik Pandya, no run, flat offbreak on off, turned to mid-wicket"
124,Hardik Pandya,Asalanka,,full,straight,0,0,0,drive,"Asalanka to Hardik Pandya, no run, sharp offbreak on off-stump, Hardik Pandya gets forward to block"
125,Ishan Kishan,Wellalage,,full,straight,0,0,6,cover drive,"Wellalage to Ishan Kishan, SIX, Ishan Kishan breaks the shackles"
126,Hardik Pandya,Wellalage,,full,straight,0,0,1,drive,"Wellalage to Hardik Pandya, 1 run, good length outside off, stays low, cut to sweeper cover"
127,Ishan Kishan,Wellalage,,full,straight,0,0,1,cover drive,"Wellalage to Ishan Kishan, 1 run, full on the stumps, Ishan Kishan gets forward to flick through mid-wicket"
128,Hardik Pandya,Wellalage,,full,straight,0,0,1,drive,"Wellalage to Hardik Pandya, 1 run, full on the stumps, Hardik Pandya gets forward and uses his reach to push wide of cover"
129,Hardik Pandya,Wellalage,,full,outside,0,0,0,cover drive,"Wellalage to Hardik Pandya, no run, ripper, Wellalage goes slightly wide of the crease and bowls a tossed up delivery that drifts in on middle, brings Hardik Pandya forward and then rips past the outside-edge"
130,Hardik Pandya,Wellalage,,full,straight,0,0,0,cut,"Wellalage to Hardik Pandya, no run, full on the stumps, pushed to cover"
131,Ishan Kishan,Asalanka,,full,straight,0,0,0,cover drive,"Asalanka to Ishan Kishan, no run, wow, What a ball"
132,Ishan Kishan,Asalanka,,full,outside,0,0,0,drive,"Asalanka to Ishan Kishan, no run, flat good length outside off, cut wide of point who gets across and cuts it off"
133,Ishan Kishan,Asalanka,,full,straight,0,0,0,cover drive,"Asalanka to Ishan Kishan, no run, full on off, Ishan Kishan gets forward to push to cover"
134,Hardik Pandya,Asalanka,,full,straight,0,0,1,drive,"Asalanka to Hardik Pandya, 1 run, good length and sliding on the middle and leg line, glanced to fine-leg and Hardik Pandya is off the mark"
135,Hardik Pandya,Asalanka,,full,straight,0,0,0,drive,"Asalanka to Hardik Pandya, no run, tossed up offbreak on the stumps, Hardik Pandya gets forward to defend to mid-wicket"
136,Ishan Kishan,Asalanka,,full,straight,0,0,1,cover drive,"Asalanka to Ishan Kishan, 1 run, tossed up full outside off, Ishan Kishan drives to sweeper cover"
137,Ishan Kishan,Wellalage,,full,straight,0,0,1,cover drive,"Wellalage to Ishan Kishan, 1 run, flat length delivery on the stumps, turned to the backward square leg region"
138,Ishan Kishan,Wellalage,,full,straight,0,0,1,cover drive,"Wellalage to Ishan Kishan, 1 run, tossed up full on the stumps, driven to long-on"
139,Ishan Kishan,Wellalage,,full,straight,0,0,0,drive,"Wellalage to Ishan Kishan, no run, sliding on with the angle and going on outside off, Ishan Kishan tries to dab and misses"
140,Ishan Kishan,Dhananjaya,,full,outside,0,0,1,defend,"Dhananjaya to Ishan Kishan, 1 run, flat offbreak just outside off, Ishan Kishan goes on the back foot to pull to deep mid-wicket"
141,Ishan Kishan,Dhananjaya,,full,straight,0,0,1,defend,"Dhananjaya to Ishan Kishan, 1 run, full on the stumps, Ishan Kishan gets forward to drive to long-on"
142,Ishan Kishan,Dhananjaya,,full,leg,0,0,0,flick,"Dhananjaya to Ishan Kishan, no run, flat good length on off, Ishan Kishan guides to short third man with an open face"
143,Ishan Kishan,Wellalage,,full,straight,0,0,0,cover drive,"Wellalage to Ishan Kishan, no run, Ishan Kishan misses out there, full down leg, Ishan Kishan sweeps and picks out short fine-leg"
144,Ishan Kishan,Dhananjaya,,full,straight,0,0,0,defend,"Dhananjaya to Ishan Kishan, no run, slower and holds the length back, Kishan is drawn into the forward block and the ball spins past the outside edge"
145,Ishan Kishan,Theekshana,,full,straight,0,0,1,drive,"Theekshana to Ishan Kishan, 1 run, quicker and at the stumps, Kishan nudges it square on the leg-side"
146,Ishan Kishan,Dhananjaya,,full,straight,0,0,0,defend,"Dhananjaya to Ishan Kishan, no run, drifts in with the angle, Kishan works it straight to mid-wicket"
147,Ishan Kishan,Dhananjaya,,full,outside,0,0,0,defend,"Dhananjaya to Ishan Kishan, no run, flatter and around off, Kishan punches to cover and Samarwickrama flings the ball at the batter"
148,Ishan Kishan,Dhananjaya,,full,outside,0,0,1,defend,"Dhananjaya to Ishan Kishan, 1 run, ""catch it"" were some of the calls but luckily for Kishan the ball does not carry"
149,Ishan Kishan,Theekshana,,full,straight,0,0,1,pull,"Theekshana to Ishan Kishan, 1 run, quicker and at the stumps, Kishan nudges wide of mid-wicket"
150,Ishan Kishan,Dhananjaya,,full,outside,0,0,0,defend,"Dhananjaya to Ishan Kishan, no run, quicker and spins away sharply, Kishan looks to steer and is beaten on the outside edge"
151,Ishan Kishan,Dhananjaya,,full,outside,0,0,0,defend,"Dhananjaya to Ishan Kishan, no run, tossed up close to off, Kishan opens the bat face and directs to backward point"
152,Ishan Kishan,Dhananjaya,,full,outside,0,0,1,defend,"Dhananjaya to Ishan Kishan, 1 run, floated up teasingly, Kishan drills it back at DDS and he takes the pace off the ball, just a single"
153,Ishan Kishan,Dhananjaya,,full,straight,0,0,0,defend,"Dhananjaya to Ishan Kishan, no run, slower and drawing Kishan into the forward defensive"
154,Ishan Kishan,Dhananjaya,,full,outside,0,0,0,defend,"Dhananjaya to Ishan Kishan, no run, fraction short and drifts in, Kishan punches it firmly to mid-wicket"
155,Ishan Kishan,Theekshana,,full,outside,0,0,1,drive,"Theekshana to Ishan Kishan, 1 run, flatter and fraction short, Kishan cracks it square on the off-side"
156,Ishan Kishan,Theekshana,,full,outside,0,0,2,drive,"Theekshana to Ishan Kishan, 2 runs, drifted across the left hander, Kishan angles it to backward point and Asalanka fumbles, extra run conceded"
157,Ishan Kishan,Theekshana,,full,straight,0,0,0,cover drive,"Theekshana to Ishan Kishan, no run, 100ks delivery at the stumps, Kishan defends back to Theekshana"
158,Ishan Kishan,Theekshana,,full,straight,0,1,1,defend,"Theekshana to Ishan Kishan, wide, splays down leg, Kishan misses the glance and it is given as wide"
159,Ishan Kishan,Dhananjaya,,full,outside,0,0,1,defend,"Dhananjaya to Ishan Kishan, 1 run, floated up wider of off-stump, Kishan pushes it wide of cover"
160,Ishan Kishan,Dhananjaya,,full,outside,0,0,0,defend,"Dhananjaya to Ishan Kishan, no run, short but spins away and stays low, Kishan was shaping to cut but ends up stabbing it back down the wicket"
161,Ishan Kishan,Dhananjaya,,full,straight,0,0,0,defend,"Dhananjaya to Ishan Kishan, no run, flatter and bit of extra bounce, Kishan defends it back to DDS"
162,Ishan Kishan,Dhananjaya,,full,straight,0,0,0,defend,"Dhananjaya to Ishan Kishan, no run, quicker and fraction short, Kishan knocks it to the left of DDS"
163,Ishan Kishan,Dhananjaya,,full,outside,0,0,0,defend,"Dhananjaya to Ishan Kishan, no run, slower and on off-stump, Kishan defends with the bat and pad together"
164,Ishan Kishan,Wellalage,,full,straight,0,0,1,drive,"Wellalage to Ishan Kishan, 1 run, floated up outside off, Kishan mistimes the drive to mid-off and sets off, sprints across and makes it in before the ball hits the stumps and deflects away"
165,Ishan Kishan,Wellalage,,full,straight,0,0,0,drive,"Wellalage to Ishan Kishan, no run, drifted across the left hander, Kishan pushes it back to Wellalage"
166,Ishan Kishan,Wellalage,,full,outside,0,0,0,defend,"Wellalage to Ishan Kishan, no run, comes down the track, converts it into a full pitcher and drills it to mid-off"
167,Ishan Kishan,Wellalage,,full,straight,0,0,0,pull,"Wellalage to Ishan Kishan, no run, quicker and attacking the stumps, Kishan blocks in front of mid-wicket"
168,Ishan Kishan,Wellalage,,full,straight,0,0,0,cover drive,"Wellalage to Ishan Kishan, no run, flighted and turning in, Kishan defends solidly back to Wellalage"
169,Ishan Kishan,Dhananjaya,,full,straight,0,0,0,defend,"Dhananjaya to Ishan Kishan, no run, flighted around off, Kishan blocks to the off-side"
170,Ishan Kishan,Dhananjaya,,full,outside,0,0,1,defend,"Dhananjaya to Ishan Kishan, 1 run, tad short and outside off, Kishan cuts square and Nissanka keeps it to a single"
171,Ishan Kishan,Dhananjaya,,full,straight,0,0,0,defend,"Dhananjaya to Ishan Kishan, no run, tosses it up on off, Kishan presses forward and pushes to cover"
172,Ishan Kishan,Dhananjaya,,full,outside,0,0,1,defend,"Dhananjaya to Ishan Kishan, 1 run, flighted around off, Kishan plays it with soft hands towards point and the duo cross over"
173,Ishan Kishan,Wellalage,,full,straight,0,0,1,flick,"Wellalage to Ishan Kishan, 1 run, spinning into leg, Kishan leans forward and nurdles it backward of square"
174,Ishan Kishan,Wellalage,,full,straight,0,0,0,pull,"Wellalage to Ishan Kishan, no run, tad quicker and outside off, Kishan blocks it towards cover"
175,Ishan Kishan,Wellalage,,full,outside,0,0,4,drive,"Wellalage to Ishan Kishan, FOUR, tosses it up invitingly and Kishan takes it on, smacks it straight back over Rahul and long-on has no chance"
176,Ishan Kishan,Wellalage,,full,leg,0,0,0,flick,"Wellalage to Ishan Kishan, no run, spinning from short of length, Kishan blocks to the left of Wellalage"
177,Ishan Kishan,Dhananjaya,,full,straight,0,0,0,defend,"Dhananjaya to Ishan Kishan, no run, loopy delivery on off, Kishan toe-ends the drive back to DDS"
178,Ishan Kishan,Dhananjaya,,full,straight,0,0,1,defend,"Dhananjaya to Ishan Kishan, 1 run, flatter and drifts in, Kishan punches it down to long-on"
179,Ishan Kishan,Dhananjaya,,full,straight,0,0,1,defend,"Dhananjaya to Ishan Kishan, 1 run, more flight and fuller in length, Kishan drives to long-off"
180,Ishan Kishan,Dhananjaya,,full,straight,0,0,0,defend,"Dhananjaya to Ishan Kishan, no run, flatter and slides in, Kishan brings his bat down and keeps it out"
181,Ishan Kishan,Wellalage,,full,straight,0,0,1,cover drive,"Wellalage to Ishan Kishan, 1 run, turns in a long way, Kishan chips it aerially past Rahul and down to long-on"
182,Ishan Kishan,Wellalage,,full,straight,0,0,0,drive,"Wellalage to Ishan Kishan, no run, spins in from outside off, Kishan hangs back and defends"
